Time,LEPDiameter,REPDiameter,Fixation
1616035896282, -1,-1,NULL
1616035896395, -1,-1,NULL
1616035897209, -1,-1,NULL
1616035897275, -1,-1,NULL
1616035897305, -1,-1,NULL
1616035897324, -1,-1,NULL
1616035897344, -1,-1,NULL
1616035897363, -1,-1,NULL
1616035897381, -1,-1,NULL
1616035897403, -1,-1,NULL
1616035897425, -1,-1,NULL
1616035897443, -1,-1,NULL
1616035897462, -1,-1,NULL
1616035897487, -1,-1,NULL
1616035897507, -1,-1,NULL
1616035897526, -1,-1,NULL
1616035897544, -1,-1,NULL
1616035897562, -1,-1,NULL
1616035897579, -1,-1,NULL
1616035897596, -1,-1,NULL
1616035897615, -1,-1,NULL
1616035897638, -1,-1,NULL
1616035897672, -1,-1,NULL
1616035897706, -1,-1,NULL
1616035897739, -1,-1,NULL
1616035897773, -1,-1,NULL
1616035897807, -1,-1,NULL
1616035897840, -1,-1,NULL
1616035897876, -1,-1,NULL
1616035897906, -1,-1,NULL
1616035897942, -1,-1,NULL
1616035897972, -1,-1,NULL
1616035898005, -1,-1,NULL
1616035898041, -1,-1,NULL
1616035898072, -1,-1,NULL
1616035898106, -1,-1,NULL
1616035898141, -1,-1,NULL
1616035898172, -1,-1,NULL
1616035898205, -1,-1,NULL
1616035898238, -1,-1,NULL
1616035898272, -1,-1,NULL
1616035898305, -1,-1,NULL
1616035898338, -1,-1,NULL
1616035898371, -1,-1,NULL
1616035898393, -1,-1,NULL
1616035898415, -1,-1,NULL
1616035898437, -1,-1,NULL
1616035898459, -1,-1,NULL
1616035898482, -1,-1,NULL
1616035898504, -1,-1,NULL
1616035898527, -1,-1,NULL
1616035898548, -1,-1,NULL
1616035898571, -1,-1,NULL
1616035898593, -1,-1,NULL
1616035898615, -1,-1,NULL
1616035898637, -1,-1,NULL
1616035898659, -1,-1,NULL
1616035898682, -1,-1,NULL
1616035898704, -1,-1,NULL
1616035898726, -1,-1,NULL
1616035898748, -1,-1,NULL
1616035898771, -1,-1,NULL
1616035898793, -1,-1,NULL
1616035898815, -1,-1,NULL
1616035898838, -1,-1,NULL
1616035898859, -1,-1,NULL
1616035898882, -1,-1,NULL
1616035898904, -1,-1,NULL
1616035898926, -1,-1,NULL
1616035898948, -1,-1,NULL
1616035898979, -1,-1,NULL
1616035899007, -1,-1,NULL
1616035899023, -1,-1,NULL
1616035899038, -1,-1,NULL
1616035899064, -1,-1,NULL
1616035899083, -1,-1,NULL
1616035899106, -1,-1,NULL
1616035899126, -1,-1,NULL
1616035899147, -1,-1,NULL
1616035899171, -1,-1,NULL
1616035899192, -1,-1,NULL
1616035899215, -1,-1,NULL
1616035899237, -1,-1,NULL
1616035899259, -1,-1,NULL
1616035899281, -1,-1,NULL
1616035899303, -1,-1,NULL
1616035899326, -1,-1,NULL
1616035899348, -1,-1,NULL
1616035899370, -1,-1,NULL
1616035899392, -1,-1,NULL
1616035899415, -1,-1,NULL
1616035899438, -1,-1,NULL
1616035899462, -1,-1,NULL
1616035899486, -1,-1,NULL
1616035899507, -1,-1,NULL
1616035899528, -1,-1,NULL
1616035899549, -1,-1,NULL
1616035899571, -1,-1,NULL
1616035899597, -1,-1,NULL
1616035899619, -1,-1,NULL
1616035899640, -1,-1,NULL
1616035899659, -1,-1,NULL
1616035899677, -1,-1,NULL
1616035899697, -1,-1,NULL
1616035899713, -1,-1,NULL
1616035899728, -1,-1,NULL
1616035899744, -1,-1,NULL
1616035899760, -1,-1,NULL
1616035899776, -1,-1,NULL
1616035899792, -1,-1,NULL
1616035899808, -1,-1,NULL
1616035899828, -1,-1,NULL
1616035899847, -1,-1,NULL
1616035899865, -1,-1,NULL
1616035899884, -1,-1,NULL
1616035899905, -1,-1,NULL
1616035899924, -1,-1,NULL
1616035899944, -1,-1,NULL
1616035899965, -1,-1,NULL
1616035899984, -1,-1,NULL
1616035900009, -1,-1,NULL
1616035900029, -1,-1,NULL
1616035900047, -1,-1,NULL
1616035900065, -1,-1,NULL
1616035900084, -1,-1,NULL
1616035900102, -1,-1,NULL
1616035900121, -1,-1,NULL
1616035900138, -1,-1,NULL
1616035900154, -1,-1,NULL
1616035900170, -1,-1,NULL
1616035900192, -1,-1,NULL
1616035900214, -1,-1,NULL
1616035900238, -1,-1,NULL
1616035900260, -1,-1,NULL
1616035900282, -1,-1,NULL
1616035900304, -1,-1,NULL
1616035900325, -1,-1,NULL
1616035900347, -1,-1,NULL
1616035900370, -1,-1,NULL
1616035900392, -1,-1,NULL
1616035900415, -1,-1,NULL
1616035900436, -1,-1,NULL
1616035900459, -1,-1,NULL
1616035900483, -1,-1,NULL
1616035900504, -1,-1,NULL
1616035900526, -1,-1,NULL
1616035900548, -1,-1,NULL
1616035900573, -1,-1,NULL
1616035900589, -1,-1,NULL
1616035900606, -1,-1,NULL
1616035900636, -1,-1,NULL
1616035900654, -1,-1,NULL
1616035900670, -1,-1,NULL
1616035900686, -1,-1,NULL
1616035900702, -1,-1,NULL
1616035900718, -1,-1,NULL
1616035900741, -1,-1,NULL
1616035900759, -1,-1,NULL
1616035900775, -1,-1,NULL
1616035900791, -1,-1,NULL
1616035900807, -1,-1,NULL
1616035900823, -1,-1,NULL
1616035900839, -1,-1,NULL
1616035900855, -1,-1,NULL
1616035900872, -1,-1,NULL
1616035900890, -1,-1,NULL
1616035900907, -1,-1,NULL
1616035900925, -1,-1,NULL
1616035900943, -1,-1,NULL
1616035900959, -1,-1,NULL
1616035900975, -1,-1,NULL
1616035900991, -1,-1,NULL
1616035901007, -1,-1,NULL
1616035901023, -1,-1,NULL
1616035901039, -1,-1,NULL
1616035901055, -1,-1,NULL
1616035901071, -1,-1,NULL
1616035901091, -1,-1,NULL
1616035901113, -1,-1,NULL
1616035901136, -1,-1,NULL
1616035901159, -1,-1,NULL
1616035901182, -1,-1,NULL
1616035901204, -1,-1,NULL
1616035901227, -1,-1,NULL
1616035901259, -1,-1,NULL
1616035901278, -1,-1,NULL
1616035901295, -1,-1,NULL
1616035901315, -1,-1,NULL
1616035901338, -1,-1,NULL
1616035901360, -1,-1,NULL
1616035901384, -1,-1,NULL
1616035901406, -1,-1,NULL
1616035901426, -1,-1,NULL
1616035901449, -1,-1,NULL
1616035901470, -1,-1,NULL
1616035901492, -1,-1,NULL
1616035901509, -1,-1,NULL
1616035901526, -1,-1,NULL
1616035901543, -1,-1,NULL
1616035901569, -1,-1,NULL
1616035901591, -1,-1,NULL
1616035901609, -1,-1,NULL
1616035901625, -1,-1,NULL
